4.185, 278, 1
4.526, 278, 2
13.857, 290, 1
13.857, 289, 4
18.507, 294, 1
19.933, 292, 2
20.243, 292, 1
20.243, 289, 2
20.987, 288, 2
22.320, 289, 5
23.002, 288, 2
23.002, 288, 1
23.343, 290, 2
23.343, 284, 2
23.591, 284, 2
23.591, 283, 1
24.366, 284, 2
25.389, 294, 2
25.389, 278, 1
27.621, 278, 2
27.683, 279, 4
28.768, 289, 2
29.822, 289, 1
30.070, 288, 1
30.380, 281, 3
41.013, 278, 2
41.013, 280, 1
41.354, 281, 3
41.354, 282, 4
46.128, 283, 3
48.112, 281, 4
48.112, 283, 1
48.205, 283, 1
48.205, 288, 2
50.189, 283, 1
50.189, 282, 2
50.189, 280, 1
51.708, 283, 1
51.708, 287, 1
54.839, 282, 3
56.017, 287, 3
58.714, 284, 2
63.240, 290, 1
64.170, 288, 5
64.170, 291, 4
64.573, 294, 3
66.743, 289, 5
68.014, 285, 3
68.014, 284, 2
68.386, 284, 1
70.122, 283, 2
70.835, 281, 2
70.835, 285, 1
73.253, 283, 2
73.377, 291, 2
74.338, 291, 1
82.119, 280, 1
83.018, 280, 1
83.576, 288, 3
84.692, 288, 1
85.126, 289, 1
87.420, 288, 2
87.885, 285, 1
87.885, 278, 1
91.202, 278, 2
94.116, 288, 1
94.116, 289, 5
94.333, 291, 1
95.666, 291, 2
95.666, 289, 2
98.394, 289, 1
99.851, 280, 2
100.316, 279, 4
102.424, 283, 2
103.261, 282, 3
103.292, 285, 1
104.346, 284, 4
104.346, 291, 4
109.151, 288, 2
110.980, 290, 2
111.011, 290, 5
112.654, 290, 1
114.297, 289, 1
115.196, 290, 1
119.722, 291, 1
121.396, 293, 1
121.396, 291, 1
121.830, 290, 1
122.977, 290, 3
125.705, 293, 3
125.705, 290, 1
128.836, 290, 2
129.921, 289, 1
129.983, 289, 2
131.130, 291, 1
132.308, 289, 2
136.400, 290, 2
137.423, 290, 1
139.686, 290, 1
141.670, 289, 5
142.228, 291, 5
142.228, 293, 4
143.220, 293, 1
143.220, 289, 1
151.931, 295, 1
153.078, 290, 1
156.116, 290, 3
157.945, 290, 4
159.185, 290, 1
160.425, 292, 1
160.425, 291, 2
160.766, 291, 1
160.766, 289, 1
163.401, 289, 2
163.401, 289, 1
165.478, 289, 1
165.571, 285, 1
167.710, 285, 3
167.772, 285, 1
168.051, 290, 2
170.934, 295, 5
173.259, 295, 4
178.064, 293, 2
179.304, 293, 5
181.102, 293, 2
181.877, 291, 2
182.900, 291, 1
182.900, 290, 1
185.070, 295, 1
185.070, 291, 1
187.085, 293, 1
187.085, 291, 1
190.402, 291, 3
190.836, 291, 1
191.518, 290, 1
193.006, 289, 3
193.223, 289, 3
199.299, 290, 1
199.671, 290, 1
201.314, 289, 5
202.647, 288, 2
205.964, 286, 1
206.584, 286, 3
206.584, 285, 2
208.289, 285, 2
208.289, 284, 1
209.591, 284, 4
212.381, 284, 5
212.536, 286, 3
213.001, 285, 4
213.280, 283, 1
214.179, 284, 3
214.427, 282, 1
215.233, 282, 2
222.208, 294, 2
223.262, 294, 1
223.262, 292, 1
223.262, 289, 3
230.919, 292, 3
230.919, 290, 2
233.120, 290, 1
237.677, 294, 2
237.894, 289, 2
237.894, 285, 2
240.064, 290, 1
240.219, 287, 4
240.219, 284, 1
240.994, 287, 3
240.994, 289, 1
241.335, 290, 1
241.335, 288, 3
248.403, 288, 3
249.240, 288, 1
249.240, 288, 4
250.573, 288, 4
252.557, 284, 1
